city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Whitehorse,Yukon,2023-04-27 07:00:00,2023-04-27 13:05:28,2023-04-28 04:49:59,2.21,-2.23,1006,55,-5.22,75,10000,5.14,140,Clouds
Whitehorse,Yukon,2023-04-28 07:00:00,2023-04-28 13:02:36,2023-04-29 04:52:35,2.91,-2.05,1013,60,-3.62,40,10000,6.69,170,Clouds
Whitehorse,Yukon,2023-04-29 07:00:00,2023-04-29 12:59:44,2023-04-30 04:55:11,4.3,0.65,1014,56,-3.27,100,10000,4.63,160,Clouds
Whitehorse,Yukon,2023-04-30 07:00:00,2023-04-30 12:56:54,2023-05-01 04:57:47,8.4,6.24,1006,62,1.55,100,10000,3.6,160,Clouds
Whitehorse,Yukon,2023-05-01 07:00:00,2023-05-01 12:54:05,2023-05-02 05:00:23,5.6,2.26,1007,70,0.57,20,10000,4.63,160,Clouds
Whitehorse,Yukon,2023-05-02 07:00:00,2023-05-02 12:51:17,2023-05-03 05:02:59,6.03,0.88,1006,65,-0.04,40,10000,10.29,170,Rain
Whitehorse,Yukon,2023-05-03 07:00:00,2023-05-03 12:48:30,2023-05-04 05:05:35,6.32,3.71,998,65,0.23,75,10000,3.6,150,Clouds
Whitehorse,Yukon,2023-05-04 07:00:00,2023-05-04 12:45:44,2023-05-05 05:08:10,0.16,-2.34,1010,55,-6.93,20,10000,2.06,160,Clouds
Whitehorse,Yukon,2023-05-05 07:00:00,2023-05-05 12:43:00,2023-05-06 05:10:46,0.6,-2.86,1010,40,-10.2,20,10000,3.09,240,Clouds
Whitehorse,Yukon,2023-05-06 07:00:00,2023-05-06 12:40:17,2023-05-07 05:13:21,5.29,1.74,1008,70,0.27,100,10000,4.92,180,Clouds
Whitehorse,Yukon,2023-05-07 07:00:00,2023-05-07 12:37:36,2023-05-08 05:15:56,5.59,5.59,1011,42,-5.59,75,10000,1.03,0,Clouds
Whitehorse,Yukon,2023-05-08 07:00:00,2023-05-08 12:34:56,2023-05-09 05:18:30,4.45,1.43,1012,56,-3.15,20,10000,3.6,150,Clouds
Whitehorse,Yukon,2023-05-09 07:00:00,2023-05-09 12:32:18,2023-05-10 05:21:04,4.27,0.61,1015,52,-4.17,75,10000,4.63,170,Clouds
Whitehorse,Yukon,2023-05-10 07:00:00,2023-05-10 12:29:41,2023-05-11 05:23:38,4.63,0.36,1014,49,-4.57,75,10000,6.17,150,Clouds
Whitehorse,Yukon,2023-05-11 07:00:00,2023-05-11 12:27:06,2023-05-12 05:26:11,7.35,5.63,1011,49,-2.35,75,10000,2.57,250,Clouds
Whitehorse,Yukon,2023-05-12 07:00:00,2023-05-12 12:24:33,2023-05-13 05:28:43,7.61,5,1013,45,-3.15,75,10000,4.12,170,Clouds
Whitehorse,Yukon,2023-05-13 07:00:00,2023-05-13 12:22:02,2023-05-14 05:31:14,7.35,3.64,1018,58,-0.32,75,10000,6.69,150,Clouds
Whitehorse,Yukon,2023-05-14 07:00:00,2023-05-14 12:19:33,2023-05-15 05:33:45,6.85,4.67,1026,47,-3.25,20,10000,3.09,150,Clouds
Whitehorse,Yukon,2023-05-15 07:00:00,2023-05-15 12:17:05,2023-05-16 05:36:14,7.15,5.39,1024,37,-5.82,20,10000,2.57,190,Clouds
Whitehorse,Yukon,2023-05-16 07:00:00,2023-05-16 12:14:40,2023-05-17 05:38:43,8.18,6.62,1023,33,-6.33,20,10000,2.57,240,Clouds
Whitehorse,Yukon,2023-05-17 07:00:00,2023-05-17 12:12:17,2023-05-18 05:41:10,12.81,10.8,1018,25,-5.96,0,10000,5.66,150,Clear
Whitehorse,Yukon,2023-05-18 07:00:00,2023-05-18 12:09:57,2023-05-19 05:43:37,12.79,10.88,1014,29,-4.24,20,10000,3.6,180,Clouds
Whitehorse,Yukon,2023-05-19 07:00:00,2023-05-19 12:07:38,2023-05-20 05:46:01,17.28,15.77,1009,27,-1.66,20,10000,4.12,270,Clouds
Whitehorse,Yukon,2023-05-20 07:00:00,2023-05-20 12:05:22,2023-05-21 05:48:25,11.04,9.69,1017,57,2.86,75,10000,5.66,150,Clouds
Whitehorse,Yukon,2023-05-21 07:00:00,2023-05-21 12:03:09,2023-05-22 05:50:46,11.22,9.68,1017,49,0.91,20,10000,3.6,150,Clouds
Whitehorse,Yukon,2023-05-22 07:00:00,2023-05-22 12:00:59,2023-05-23 05:53:06,8.94,8.4,1020,41,-3.18,75,10000,1.54,190,Clouds
Whitehorse,Yukon,2023-05-23 07:00:00,2023-05-23 11:58:51,2023-05-24 05:55:24,8.33,8.33,1021,39,-4.26,20,10000,1.03,0,Clouds
Whitehorse,Yukon,2023-05-24 07:00:00,2023-05-24 11:56:47,2023-05-25 05:57:40,11.66,10.13,1014,48,1.03,75,10000,4.02,150,Clouds
Whitehorse,Yukon,2023-05-25 07:00:00,2023-05-25 11:54:45,2023-05-26 05:59:54,10.14,8.65,1015,55,1.51,20,10000,6.17,160,Clouds
Whitehorse,Yukon,2023-05-26 07:00:00,2023-05-26 11:52:47,2023-05-27 06:02:06,9.84,6.28,1008,78,6.19,100,10000,8.75,160,Clouds
Whitehorse,Yukon,2023-05-27 07:00:00,2023-05-27 11:50:51,2023-05-28 06:04:15,7.1,4.38,1007,42,-4.37,75,10000,4.12,180,Clouds
Whitehorse,Yukon,2023-05-28 07:00:00,2023-05-28 11:49:00,2023-05-29 06:06:21,7.69,3.6,1003,61,0.65,75,10000,8.23,150,Clouds
Whitehorse,Yukon,2023-05-29 07:00:00,2023-05-29 11:47:12,2023-05-30 06:08:25,5.29,1.88,1005,60,-1.62,75,10000,4.63,160,Clouds
Whitehorse,Yukon,2023-05-30 07:00:00,2023-05-30 11:45:27,2023-05-31 06:10:25,5.29,1.63,1006,56,-2.45,40,10000,5.14,150,Clouds
