city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Whitehorse,Yukon,2023-12-23 08:00:00,2023-12-23 18:10:24,2023-12-23 23:48:04,-12.36,-19.36,1003,84,-14.27,20,10000,5.66,140,Clouds
Whitehorse,Yukon,2023-12-24 08:00:00,2023-12-24 18:10:42,2023-12-24 23:48:44,-2.11,-9.11,988,93,-2.97,100,4828,11.83,160,Snow
Whitehorse,Yukon,2023-12-25 08:00:00,2023-12-25 18:10:53,2023-12-25 23:49:30,-0.72,-6.45,992,86,-2.53,75,10000,6.17,150,Snow
Whitehorse,Yukon,2023-12-26 08:00:00,2023-12-26 18:10:59,2023-12-26 23:50:22,0.32,-3.19,980,80,-2.4,75,10000,3.09,210,Snow
Whitehorse,Yukon,2023-12-27 08:00:00,2023-12-27 18:10:59,2023-12-27 23:51:19,-8.18,-11.16,1007,79,-10.84,20,10000,1.54,240,Clouds
Whitehorse,Yukon,2023-12-28 08:00:00,2023-12-28 18:10:53,2023-12-28 23:52:22,-10.75,-16.52,1004,92,-11.68,75,10000,3.09,320,Snow
Whitehorse,Yukon,2023-12-29 08:00:00,2023-12-29 18:10:42,2023-12-29 23:53:30,-11.07,-14.47,1006,84,-13,75,10000,1.54,170,Clouds
Whitehorse,Yukon,2023-12-30 08:00:00,2023-12-30 18:10:24,2023-12-30 23:54:44,-9.71,-9.71,995,85,-11.53,100,4828,0,0,Snow
Whitehorse,Yukon,2023-12-31 08:00:00,2023-12-31 18:10:01,2023-12-31 23:56:03,-6.42,-10.71,1002,85,-8.29,20,10000,2.57,270,Clouds
Whitehorse,Yukon,2024-01-01 08:00:00,2024-01-01 18:09:32,2024-01-01 23:57:28,-15.57,-22.34,1015,84,-17.44,75,10000,3.1,350,Clouds
Whitehorse,Yukon,2024-01-02 08:00:00,2024-01-02 18:08:58,2024-01-02 23:58:57,-13.57,-18.44,1018,84,-15.47,100,3219,2.1,360,Mist
Whitehorse,Yukon,2024-01-03 08:00:00,2024-01-03 18:08:19,2024-01-04 00:00:31,-12.12,-16.68,1018,84,-14.04,100,4023,2.06,350,Mist
