city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Yellowknife,Northwest Territories,2022-01-01 08:00:00,2022-01-01 17:05:33,2022-01-01 22:16:14,-39.76,-39.76,1039,82,-41.5,0,10000,0.89,360,Clear
Yellowknife,Northwest Territories,2022-01-02 08:00:00,2022-01-02 17:04:45,2022-01-02 22:17:57,-30.62,-37.62,1017,75,-33.34,40,10000,3.6,360,Clouds
Yellowknife,Northwest Territories,2022-01-03 08:00:00,2022-01-03 17:03:51,2022-01-03 22:19:46,-35.92,-42.92,1057,84,-37.5,0,10000,4.92,330,Clear
Yellowknife,Northwest Territories,2022-01-04 08:00:00,2022-01-04 17:02:50,2022-01-04 22:21:39,-34.93,-41.93,1038,75,-37.55,40,10000,4.63,300,Clouds
Yellowknife,Northwest Territories,2022-01-05 08:00:00,2022-01-05 17:01:44,2022-01-05 22:23:38,-34.24,-41.24,1059,86,-35.63,40,10000,3.58,270,Snow
Yellowknife,Northwest Territories,2022-01-06 08:00:00,2022-01-06 17:00:32,2022-01-06 22:25:42,-32.41,-39.41,1020,75,-35.09,20,10000,3.6,190,Clouds
Yellowknife,Northwest Territories,2022-01-07 08:00:00,2022-01-07 16:59:15,2022-01-07 22:27:51,-23.1,-30.1,1016,96,-23.51,93,,4.82,295,Clouds
Yellowknife,Northwest Territories,2022-01-08 08:00:00,2022-01-08 16:57:53,2022-01-08 22:30:03,-29.48,-36.48,1010,68,-33.15,20,10000,3.09,260,Clouds
Yellowknife,Northwest Territories,2022-01-09 08:00:00,2022-01-09 16:56:25,2022-01-09 22:32:20,-32.03,-39.03,1041,87,-33.34,20,10000,3.6,280,Clouds
Yellowknife,Northwest Territories,2022-01-10 08:00:00,2022-01-10 16:54:52,2022-01-10 22:34:41,-27.03,-34.03,1041,90,-28.06,100,10000,3.09,180,Clouds
Yellowknife,Northwest Territories,2022-01-11 08:00:00,2022-01-11 16:53:15,2022-01-11 22:37:06,-31.57,-38.57,1033,89,-32.67,0,10000,3.58,330,Clear
Yellowknife,Northwest Territories,2022-01-12 08:00:00,2022-01-12 16:51:33,2022-01-12 22:39:34,-28.6,-35.6,1009,69,-32.15,40,10000,3.6,80,Snow
Yellowknife,Northwest Territories,2022-01-13 08:00:00,2022-01-13 16:49:47,2022-01-13 22:42:06,-24.88,-31.88,1032,93,-25.6,0,10000,3.6,100,Clear
Yellowknife,Northwest Territories,2022-01-14 08:00:00,2022-01-14 16:47:56,2022-01-14 22:44:40,-20.91,-27.91,1022,84,-22.7,100,10000,4.47,120,Clouds
Yellowknife,Northwest Territories,2022-01-15 08:00:00,2022-01-15 16:46:02,2022-01-15 22:47:18,-19.88,-26.88,1020,94,-20.52,40,10000,3.58,340,Clouds
Yellowknife,Northwest Territories,2022-01-16 08:00:00,2022-01-16 16:44:04,2022-01-16 22:49:58,-20.41,-27.41,1029,92,-21.27,100,8047,3.6,50,Snow
Yellowknife,Northwest Territories,2022-01-17 08:00:00,2022-01-17 16:42:01,2022-01-17 22:52:40,-25.41,-32.41,1032,91,-26.35,100,3219,3.6,60,Snow
