city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Yellowknife,Northwest Territories,2021-07-06 07:00:00,2021-07-06 09:56:14,2021-07-07 05:27:50,14.07,13.28,1019,67,8.04,75,10000,4.12,170,Clouds
Yellowknife,Northwest Territories,2021-07-07 07:00:00,2021-07-07 09:58:08,2021-07-08 05:26:14,14.53,14.05,1007,77,10.55,20,10000,4.63,160,Clouds
Yellowknife,Northwest Territories,2021-07-08 07:00:00,2021-07-08 10:00:07,2021-07-09 05:24:34,15.18,14.63,998,72,10.17,20,10000,2.57,130,Clouds
